,M1_CO,M2_CO,DELAY_TIMES,TYPE1_CO,TYPE2_CO,M1_ZAMS,M2_ZAMS,MET1_ZAMS
1654824175,9.98198091198991,1.3809574725535065,3571.883630362257,14,13,35.13011496023784,12.881897060645668,0.0012994221455738038
1654802776,14.92926687998521,2.297990902982159,27465825784.554977,14,13,52.93862513592352,20.749990375789334,0.004371774183297527
1654803871,4.374527299961337,1.7972633529741997,282.65873306446827,14,13,28.187382020427677,14.368277181484054,0.0009959501021822516
1654806103,4.947993481137741,1.2775835252086558,84461621.43232612,14,13,25.290296542691614,11.57087291618969,0.0012111795070615897
1654806574,15.73888519711974,2.409809908457444,856.3047685994311,14,13,49.00472628515889,19.845715032009746,0.0020087783176263325
1654807354,16.119264439907273,1.9317297159687286,1713411236.8828535,14,13,51.74002241692677,17.22955381447567,0.0025146990248077917
1654807906,11.258492599857819,2.1953048339373744,126427.34172984092,14,13,40.42724320978314,15.92759420242939,0.0012433734916374353
1654810877,4.651473672130657,1.2775835252086558,18026023.295116045,14,13,36.760211232194415,11.165042616238608,0.010278223149464315
1654811442,10.172276316010448,1.594224740284389,888.6087916833852,14,13,36.869572453698154,14.362936419538642,0.00025595724931836344
1654811908,4.079374068502595,1.2775835252086558,96153.55084147684,14,13,24.644271307750614,14.263281464065855,0.0029975953517992894
1654813695,4.000380203432859,1.2775835252086558,52749452.6415464,14,13,40.528011392764085,10.667954313690897,0.016336743814709783
1654813752,5.552088554012647,1.6473405120448437,192860.49727709746,14,13,27.71693131975861,18.446111801910074,0.0017464455338809268
1654815274,8.244304776052154,1.9721208734210758,561.7554636927343,14,13,35.64365679940619,16.196941272901608,0.0010660184337806127
1654815885,9.687122975221733,1.2775835252086558,2075.433487441256,14,13,41.54874140496526,12.373448637491622,0.0034292164219181433
1654817137,5.93031521362069,2.2811781937359683,557.4984140999571,14,13,34.489988664617535,18.493388630069227,0.004099397592655954
1654818564,7.247209328854279,2.1057319478782244,414.22930055269364,14,13,34.31556400680988,17.613011288799594,0.0013652101402185687
1654821946,23.794867562517346,1.26,3000094142306.7744,14,13,61.7688299175237,6.341376083116965,0.0007652973593262308
1654823998,9.55865635159418,2.494814676861947,4757.273146700688,14,13,36.40644566144669,28.23984206916564,0.01117684028100314
1654824175,9.98198091198991,1.3809574725535065,3571.883630362257,14,13,35.13011496023784,12.881897060645668,0.0012994221455738038
1654802776,14.92926687998521,2.297990902982159,27465825784.554977,14,13,52.93862513592352,20.749990375789334,0.004371774183297527
1654803871,4.374527299961337,1.7972633529741997,282.65873306446827,14,13,28.187382020427677,14.368277181484054,0.0009959501021822516
1654806103,4.947993481137741,1.2775835252086558,84461621.43232612,14,13,25.290296542691614,11.57087291618969,0.0012111795070615897
1654806574,15.73888519711974,2.409809908457444,856.3047685994311,14,13,49.00472628515889,19.845715032009746,0.0020087783176263325
1654807354,16.119264439907273,1.9317297159687286,1713411236.8828535,14,13,51.74002241692677,17.22955381447567,0.0025146990248077917
1654807906,11.258492599857819,2.1953048339373744,126427.34172984092,14,13,40.42724320978314,15.92759420242939,0.0012433734916374353
1654810877,4.651473672130657,1.2775835252086558,18026023.295116045,14,13,36.760211232194415,11.165042616238608,0.010278223149464315
1654811442,10.172276316010448,1.594224740284389,888.6087916833852,14,13,36.869572453698154,14.362936419538642,0.00025595724931836344
1654811908,4.079374068502595,1.2775835252086558,96153.55084147684,14,13,24.644271307750614,14.263281464065855,0.0029975953517992894
1654813695,4.000380203432859,1.2775835252086558,52749452.6415464,14,13,40.528011392764085,10.667954313690897,0.016336743814709783
1654813752,5.552088554012647,1.6473405120448437,192860.49727709746,14,13,27.71693131975861,18.446111801910074,0.0017464455338809268
1654815274,8.244304776052154,1.9721208734210758,561.7554636927343,14,13,35.64365679940619,16.196941272901608,0.0010660184337806127
1654815885,9.687122975221733,1.2775835252086558,2075.433487441256,14,13,41.54874140496526,12.373448637491622,0.0034292164219181433
1654817137,5.93031521362069,2.2811781937359683,557.4984140999571,14,13,34.489988664617535,18.493388630069227,0.004099397592655954
1654818564,7.247209328854279,2.1057319478782244,414.22930055269364,14,13,34.31556400680988,17.613011288799594,0.0013652101402185687
1654821946,23.794867562517346,1.26,3000094142306.7744,14,13,61.7688299175237,6.341376083116965,0.0007652973593262308
1654823998,9.55865635159418,2.494814676861947,4757.273146700688,14,13,36.40644566144669,28.23984206916564,0.01117684028100314
1654824175,9.98198091198991,1.3809574725535065,3571.883630362257,14,13,35.13011496023784,12.881897060645668,0.0012994221455738038
1654802776,14.92926687998521,2.297990902982159,27465825784.554977,14,13,52.93862513592352,20.749990375789334,0.004371774183297527
1654803871,4.374527299961337,1.7972633529741997,282.65873306446827,14,13,28.187382020427677,14.368277181484054,0.0009959501021822516
1654806103,4.947993481137741,1.2775835252086558,84461621.43232612,14,13,25.290296542691614,11.57087291618969,0.0012111795070615897
1654806574,15.73888519711974,2.409809908457444,856.3047685994311,14,13,49.00472628515889,19.845715032009746,0.0020087783176263325
1654807354,16.119264439907273,1.9317297159687286,1713411236.8828535,14,13,51.74002241692677,17.22955381447567,0.0025146990248077917
1654807906,11.258492599857819,2.1953048339373744,126427.34172984092,14,13,40.42724320978314,15.92759420242939,0.0012433734916374353
1654810877,4.651473672130657,1.2775835252086558,18026023.295116045,14,13,36.760211232194415,11.165042616238608,0.010278223149464315
1654811442,10.172276316010448,1.594224740284389,888.6087916833852,14,13,36.869572453698154,14.362936419538642,0.00025595724931836344
1654811908,4.079374068502595,1.2775835252086558,96153.55084147684,14,13,24.644271307750614,14.263281464065855,0.0029975953517992894
1654813695,4.000380203432859,1.2775835252086558,52749452.6415464,14,13,40.528011392764085,10.667954313690897,0.016336743814709783
1654813752,5.552088554012647,1.6473405120448437,192860.49727709746,14,13,27.71693131975861,18.446111801910074,0.0017464455338809268
1654815274,8.244304776052154,1.9721208734210758,561.7554636927343,14,13,35.64365679940619,16.196941272901608,0.0010660184337806127
1654815885,9.687122975221733,1.2775835252086558,2075.433487441256,14,13,41.54874140496526,12.373448637491622,0.0034292164219181433
1654817137,5.93031521362069,2.2811781937359683,557.4984140999571,14,13,34.489988664617535,18.493388630069227,0.004099397592655954
1654818564,7.247209328854279,2.1057319478782244,414.22930055269364,14,13,34.31556400680988,17.613011288799594,0.0013652101402185687
1654821946,23.794867562517346,1.26,3000094142306.7744,14,13,61.7688299175237,6.341376083116965,0.0007652973593262308
1654823998,9.55865635159418,2.494814676861947,4757.273146700688,14,13,36.40644566144669,28.23984206916564,0.01117684028100314
1654824175,9.98198091198991,1.3809574725535065,3571.883630362257,14,13,35.13011496023784,12.881897060645668,0.0012994221455738038
1654802776,14.92926687998521,2.297990902982159,27465825784.554977,14,13,52.93862513592352,20.749990375789334,0.004371774183297527
1654803871,4.374527299961337,1.7972633529741997,282.65873306446827,14,13,28.187382020427677,14.368277181484054,0.0009959501021822516
1654806103,4.947993481137741,1.2775835252086558,84461621.43232612,14,13,25.290296542691614,11.57087291618969,0.0012111795070615897
1654806574,15.73888519711974,2.409809908457444,856.3047685994311,14,13,49.00472628515889,19.845715032009746,0.0020087783176263325
1654807354,16.119264439907273,1.9317297159687286,1713411236.8828535,14,13,51.74002241692677,17.22955381447567,0.0025146990248077917
1654807906,11.258492599857819,2.1953048339373744,126427.34172984092,14,13,40.42724320978314,15.92759420242939,0.0012433734916374353
1654810877,4.651473672130657,1.2775835252086558,18026023.295116045,14,13,36.760211232194415,11.165042616238608,0.010278223149464315
1654811442,10.172276316010448,1.594224740284389,888.6087916833852,14,13,36.869572453698154,14.362936419538642,0.00025595724931836344
1654811908,4.079374068502595,1.2775835252086558,96153.55084147684,14,13,24.644271307750614,14.263281464065855,0.0029975953517992894
1654813695,4.000380203432859,1.2775835252086558,52749452.6415464,14,13,40.528011392764085,10.667954313690897,0.016336743814709783
1654813752,5.552088554012647,1.6473405120448437,192860.49727709746,14,13,27.71693131975861,18.446111801910074,0.0017464455338809268
1654815274,8.244304776052154,1.9721208734210758,561.7554636927343,14,13,35.64365679940619,16.196941272901608,0.0010660184337806127
1654815885,9.687122975221733,1.2775835252086558,2075.433487441256,14,13,41.54874140496526,12.373448637491622,0.0034292164219181433
1654817137,5.93031521362069,2.2811781937359683,557.4984140999571,14,13,34.489988664617535,18.493388630069227,0.004099397592655954
1654818564,7.247209328854279,2.1057319478782244,414.22930055269364,14,13,34.31556400680988,17.613011288799594,0.0013652101402185687
1654821946,23.794867562517346,1.26,3000094142306.7744,14,13,61.7688299175237,6.341376083116965,0.0007652973593262308
1654823998,9.55865635159418,2.494814676861947,4757.273146700688,14,13,36.40644566144669,28.23984206916564,0.01117684028100314
1654824175,9.98198091198991,1.3809574725535065,3571.883630362257,14,13,35.13011496023784,12.881897060645668,0.0012994221455738038
1654802776,14.92926687998521,2.297990902982159,27465825784.554977,14,13,52.93862513592352,20.749990375789334,0.004371774183297527
1654803871,4.374527299961337,1.7972633529741997,282.65873306446827,14,13,28.187382020427677,14.368277181484054,0.0009959501021822516
1654806103,4.947993481137741,1.2775835252086558,84461621.43232612,14,13,25.290296542691614,11.57087291618969,0.0012111795070615897
1654806574,15.73888519711974,2.409809908457444,856.3047685994311,14,13,49.00472628515889,19.845715032009746,0.0020087783176263325
1654807354,16.119264439907273,1.9317297159687286,1713411236.8828535,14,13,51.74002241692677,17.22955381447567,0.0025146990248077917
1654807906,11.258492599857819,2.1953048339373744,126427.34172984092,14,13,40.42724320978314,15.92759420242939,0.0012433734916374353
1654810877,4.651473672130657,1.2775835252086558,18026023.295116045,14,13,36.760211232194415,11.165042616238608,0.010278223149464315
1654811442,10.172276316010448,1.594224740284389,888.6087916833852,14,13,36.869572453698154,14.362936419538642,0.00025595724931836344
1654811908,4.079374068502595,1.2775835252086558,96153.55084147684,14,13,24.644271307750614,14.263281464065855,0.0029975953517992894
1654813695,4.000380203432859,1.2775835252086558,52749452.6415464,14,13,40.528011392764085,10.667954313690897,0.016336743814709783
1654813752,5.552088554012647,1.6473405120448437,192860.49727709746,14,13,27.71693131975861,18.446111801910074,0.0017464455338809268
1654815274,8.244304776052154,1.9721208734210758,561.7554636927343,14,13,35.64365679940619,16.196941272901608,0.0010660184337806127
1654815885,9.687122975221733,1.2775835252086558,2075.433487441256,14,13,41.54874140496526,12.373448637491622,0.0034292164219181433
1654817137,5.93031521362069,2.2811781937359683,557.4984140999571,14,13,34.489988664617535,18.493388630069227,0.004099397592655954
1654818564,7.247209328854279,2.1057319478782244,414.22930055269364,14,13,34.31556400680988,17.613011288799594,0.0013652101402185687
1654821946,23.794867562517346,1.26,3000094142306.7744,14,13,61.7688299175237,6.341376083116965,0.0007652973593262308
1654823998,9.55865635159418,2.494814676861947,4757.273146700688,14,13,36.40644566144669,28.23984206916564,0.01117684028100314
1654824175,9.98198091198991,1.3809574725535065,3571.883630362257,14,13,35.13011496023784,12.881897060645668,0.0012994221455738038
1654802776,14.92926687998521,2.297990902982159,27465825784.554977,14,13,52.93862513592352,20.749990375789334,0.004371774183297527
1654803871,4.374527299961337,1.7972633529741997,282.65873306446827,14,13,28.187382020427677,14.368277181484054,0.0009959501021822516
1654806103,4.947993481137741,1.2775835252086558,84461621.43232612,14,13,25.290296542691614,11.57087291618969,0.0012111795070615897
1654806574,15.73888519711974,2.409809908457444,856.3047685994311,14,13,49.00472628515889,19.845715032009746,0.0020087783176263325
1654807354,16.119264439907273,1.9317297159687286,1713411236.8828535,14,13,51.74002241692677,17.22955381447567,0.0025146990248077917
1654807906,11.258492599857819,2.1953048339373744,126427.34172984092,14,13,40.42724320978314,15.92759420242939,0.0012433734916374353
1654810877,4.651473672130657,1.2775835252086558,18026023.295116045,14,13,36.760211232194415,11.165042616238608,0.010278223149464315
1654811442,10.172276316010448,1.594224740284389,888.6087916833852,14,13,36.869572453698154,14.362936419538642,0.00025595724931836344
1654811908,4.079374068502595,1.2775835252086558,96153.55084147684,14,13,24.644271307750614,14.263281464065855,0.0029975953517992894
1654813695,4.000380203432859,1.2775835252086558,52749452.6415464,14,13,40.528011392764085,10.667954313690897,0.016336743814709783
1654813752,5.552088554012647,1.6473405120448437,192860.49727709746,14,13,27.71693131975861,18.446111801910074,0.0017464455338809268
1654815274,8.244304776052154,1.9721208734210758,561.7554636927343,14,13,35.64365679940619,16.196941272901608,0.0010660184337806127
1654815885,9.687122975221733,1.2775835252086558,2075.433487441256,14,13,41.54874140496526,12.373448637491622,0.0034292164219181433
1654817137,5.93031521362069,2.2811781937359683,557.4984140999571,14,13,34.489988664617535,18.493388630069227,0.004099397592655954
1654818564,7.247209328854279,2.1057319478782244,414.22930055269364,14,13,34.31556400680988,17.613011288799594,0.0013652101402185687
1654821946,23.794867562517346,1.26,3000094142306.7744,14,13,61.7688299175237,6.341376083116965,0.0007652973593262308
1654823998,9.55865635159418,2.494814676861947,4757.273146700688,14,13,36.40644566144669,28.23984206916564,0.01117684028100314
1654824175,9.98198091198991,1.3809574725535065,3571.883630362257,14,13,35.13011496023784,12.881897060645668,0.0012994221455738038
1654802776,14.92926687998521,2.297990902982159,27465825784.554977,14,13,52.93862513592352,20.749990375789334,0.004371774183297527
1654803871,4.374527299961337,1.7972633529741997,282.65873306446827,14,13,28.187382020427677,14.368277181484054,0.0009959501021822516
1654806103,4.947993481137741,1.2775835252086558,84461621.43232612,14,13,25.290296542691614,11.57087291618969,0.0012111795070615897
1654806574,15.73888519711974,2.409809908457444,856.3047685994311,14,13,49.00472628515889,19.845715032009746,0.0020087783176263325
